APT_ICAO,DATE,PHASE,N_VALID,(-1e+09.-60],(-60.-55],(-55.-50],(-50.-45],(-45.-40],(-40.-35],(-35.-30],(-30.-25],(-25.-20],(-20.-15],(-15.-10],(-10.-5],(-5.0],(0.5],(5.10],(10.15],(15.20],(20.25],(25.30],(30.35],(35.40],(40.45],(45.50],(50.55],(55.60],(60.1e+09],EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
SBBR,2019-01,ARR,5475,2,0,2,1,7,22,50,180,442,739,829,826,698,510,286,216,143,112,76,55,43,35,32,18,24,127,0.302283105,0.127488584,0.093150685,0.091689498,0.220639269,0.614611872
SBBR,2020-01,ARR,5520,2,2,7,2,7,16,33,87,293,582,771,834,747,710,437,262,198,116,95,57,44,22,25,14,18,139,0.29076087,0.135326087,0.128623188,0.126630435,0.263949275,0.68134058
SBBR,2021-01,ARR,3690,3,0,0,0,2,8,51,171,399,665,684,599,394,269,131,87,59,49,29,23,16,8,6,8,5,24,0.347696477,0.106775068,0.072899729,0.059078591,0.179674797,0.586449864
SBBR,2022-01,ARR,4526,0,0,0,3,9,15,33,97,296,628,810,757,527,459,224,165,124,86,59,46,25,23,17,11,17,95,0.346221829,0.116438356,0.101414052,0.085947857,0.217852408,0.650022095
SBBR,2019-02,ARR,4829,2,0,1,2,4,12,35,143,314,594,712,732,550,512,298,206,170,130,79,62,57,29,27,26,22,110,0.299026714,0.113895216,0.106026092,0.104369435,0.219921309,0.623317457
SBBR,2020-02,ARR,4787,5,1,5,7,5,25,27,107,276,565,758,783,633,543,271,193,132,107,71,40,34,21,25,19,17,117,0.321913516,0.132233131,0.113432212,0.096929183,0.245665344,0.664508043
SBBR,2021-02,ARR,2777,1,0,0,0,0,12,42,121,301,486,596,437,294,191,77,62,40,22,16,14,15,11,9,2,3,25,0.371984156,0.105869644,0.068779258,0.050054015,0.174648902,0.596687072
SBBR,2022-02,ARR,3454,0,0,0,2,7,13,34,127,318,527,705,630,418,277,120,86,58,33,26,8,18,10,4,2,2,29,0.386508396,0.121019108,0.080196873,0.059640996,0.201215981,0.647365373
SBBR,2019-03,ARR,5135,3,1,0,0,1,15,61,189,427,767,906,781,581,419,238,160,114,94,60,46,36,25,26,29,17,139,0.328529698,0.113145083,0.081596884,0.077507303,0.194741967,0.600778968
SBBR,2020-03,ARR,3729,1,0,6,5,10,12,40,121,275,534,696,677,508,324,139,102,66,42,39,13,17,10,9,9,5,69,0.368195227,0.136229552,0.086886565,0.064628587,0.223116117,0.65593993
SBBR,2021-03,ARR,2400,0,0,0,0,2,7,38,114,300,497,536,393,243,124,48,21,16,10,16,6,4,3,0,3,3,16,0.387083333,0.10125,0.051666667,0.02875,0.152916667,0.56875
SBBR,2022-03,ARR,3700,0,0,2,0,4,9,28,115,334,635,784,660,428,279,136,74,50,37,30,10,13,11,10,6,3,42,0.39027027,0.115675676,0.075405405,0.056756757,0.191081081,0.638108108
SBBR,2019-04,ARR,4763,2,0,1,0,3,14,63,153,360,723,865,732,545,421,241,142,97,78,53,42,48,21,20,20,13,106,0.335292883,0.114423683,0.08838967,0.080411505,0.202813353,0.618517741
SBBR,2020-04,ARR,286,5,0,0,0,0,3,13,27,44,38,42,30,25,15,9,4,6,1,5,0,5,2,1,3,2,6,0.251748252,0.087412587,0.052447552,0.045454545,0.13986014,0.437062937
SBBR,2021-04,ARR,1687,1,0,2,2,6,9,31,85,215,318,409,272,153,76,34,19,17,8,7,3,1,2,6,0,2,9,0.403675163,0.090693539,0.045050385,0.031416716,0.135743924,0.570835803
SBBR,2022-04,ARR,3305,0,0,0,0,1,2,21,96,245,468,663,617,409,290,150,87,54,54,25,33,13,16,11,3,4,43,0.387291982,0.123751891,0.08774584,0.071709531,0.211497731,0.670499244
SBBR,2019-05,ARR,4784,0,0,0,0,2,12,70,208,481,810,913,764,532,396,175,117,75,57,27,24,21,11,17,10,8,54,0.350543478,0.111204013,0.08277592,0.061036789,0.193979933,0.605560201
SBBR,2020-05,ARR,338,1,0,0,0,3,1,7,15,26,35,56,53,37,29,17,18,11,8,10,3,2,1,0,0,1,4,0.322485207,0.109467456,0.085798817,0.103550296,0.195266272,0.621301775
SBBR,2021-05,ARR,2335,0,1,3,6,3,9,39,96,218,405,492,452,282,168,59,27,19,11,10,4,1,2,2,7,0,19,0.404282655,0.120770878,0.071948608,0.036830835,0.192719486,0.633832976
SBBR,2022-05,ARR,3768,1,0,0,3,2,8,21,92,216,453,654,664,574,445,182,136,79,59,39,26,16,13,17,12,7,49,0.349787686,0.152335456,0.118099788,0.084394904,0.270435244,0.704617834
SBBR,2019-06,ARR,4395,1,0,0,2,2,16,79,191,444,722,880,700,454,320,177,108,68,61,37,27,22,13,12,4,3,52,0.359499431,0.103299204,0.072810011,0.064846416,0.176109215,0.600455063
SBBR,2020-06,ARR,589,0,0,0,0,0,0,3,23,62,82,91,92,85,60,32,15,12,1,2,11,1,1,0,3,0,13,0.310696095,0.144312394,0.101867572,0.079796265,0.246179966,0.636672326
SBBR,2021-06,ARR,2686,0,0,2,0,2,4,10,68,234,403,587,573,369,218,78,47,24,8,14,5,3,4,2,3,3,25,0.43186895,0.137379002,0.081161579,0.046537602,0.218540581,0.696947133
SBBR,2019-07,ARR,5239,5,0,0,0,2,20,52,148,420,783,976,861,624,480,248,177,109,69,54,50,23,24,21,13,9,71,0.350639435,0.1191067,0.091620538,0.081122352,0.210727238,0.642489025
SBBR,2020-07,ARR,1255,1,0,0,1,0,6,26,82,165,244,234,205,125,63,30,22,13,5,6,3,4,1,1,5,2,11,0.349800797,0.099601594,0.050199203,0.041434263,0.149800797,0.541035857
SBBR,2021-07,ARR,3495,1,0,0,0,4,7,37,123,302,562,763,637,428,288,120,68,36,28,16,15,9,10,4,7,4,26,0.400572246,0.122460658,0.082403433,0.05379113,0.204864092,0.659227468
SBBR,2019-08,ARR,4801,3,0,0,1,5,12,48,140,339,626,817,817,655,537,218,162,104,78,57,42,26,25,14,12,9,54,0.340345761,0.13642991,0.111851698,0.079150177,0.248281608,0.667777546
SBBR,2020-08,ARR,1831,0,0,0,1,1,2,12,67,161,316,400,330,233,141,53,29,17,15,14,7,2,6,2,3,0,19,0.398689241,0.127252867,0.0770071,0.044784271,0.204259967,0.647733479
SBBR,2021-08,ARR,3603,1,0,0,0,2,5,24,101,281,587,765,771,440,280,114,54,48,33,21,8,12,11,7,4,5,29,0.426311407,0.122120455,0.077713017,0.04662781,0.199833472,0.672772689
SBBR,2019-09,ARR,4867,1,0,0,5,7,22,57,128,344,662,874,855,621,446,230,151,109,94,73,34,28,22,14,10,12,68,0.35524964,0.127594,0.091637559,0.078282309,0.219231559,0.652763509
SBBR,2020-09,ARR,2498,0,0,0,0,0,2,19,57,181,449,552,501,340,201,71,38,19,14,9,10,7,2,8,2,2,14,0.42153723,0.136108887,0.080464371,0.043634908,0.216573259,0.681745396
SBBR,2021-09,ARR,3846,0,0,0,0,0,3,14,92,316,649,833,735,480,325,129,75,49,41,16,17,14,7,6,5,8,32,0.407696308,0.124804992,0.08450338,0.053042122,0.209308372,0.670046802
SBBR,2019-10,ARR,5194,1,0,3,6,12,11,31,100,327,636,918,918,710,544,283,182,143,86,65,55,21,26,15,12,10,79,0.35348479,0.136696188,0.104736234,0.089526377,0.241432422,0.684443589
SBBR,2020-10,ARR,3133,1,0,0,0,4,5,15,95,248,488,644,603,408,281,115,68,36,27,18,14,12,9,4,2,2,34,0.398021066,0.13022662,0.089690393,0.058410469,0.219917012,0.676348548
SBBR,2021-10,ARR,4018,1,0,0,0,1,4,11,68,238,553,798,808,575,372,169,97,72,57,42,19,21,8,10,7,8,79,0.399701344,0.143106023,0.092583375,0.066202091,0.235689398,0.701592832
SBBR,2019-11,ARR,5186,1,2,4,8,11,17,26,78,210,484,737,842,753,614,344,265,164,135,95,82,56,39,25,13,26,155,0.304473583,0.145198612,0.118395681,0.117431546,0.263594292,0.685499422
SBBR,2020-11,ARR,3089,1,0,0,0,0,3,28,77,223,351,514,512,452,333,189,115,71,63,34,29,22,14,8,11,4,35,0.332146326,0.146325672,0.107801878,0.098413726,0.254127549,0.684687601
SBBR,2021-11,ARR,4252,1,0,0,1,3,1,16,66,225,461,680,734,563,519,259,194,115,98,58,47,26,32,22,19,15,97,0.332549389,0.132408278,0.122060207,0.1065381,0.254468485,0.693555974
SBBR,2019-12,ARR,5302,2,0,3,5,2,8,42,91,248,457,680,794,736,625,348,263,211,160,105,81,83,56,49,40,33,180,0.278008299,0.138815541,0.117880045,0.115239532,0.256695587,0.649943418
SBBR,2020-12,ARR,3708,0,0,1,1,2,11,36,139,323,582,699,606,469,304,169,93,54,58,35,27,16,16,12,9,5,41,0.351941748,0.126483279,0.081984898,0.070658037,0.208468177,0.631067961
SBBR,2021-12,ARR,4696,1,0,0,0,4,10,43,114,249,425,650,745,652,548,307,200,183,141,81,71,46,38,35,26,11,116,0.297061329,0.138841567,0.11669506,0.107964225,0.255536627,0.660562181
SBCF,2019-01,ARR,4185,0,0,0,1,2,0,11,32,142,405,661,695,638,496,291,193,150,95,68,60,38,34,27,23,16,107,0.324014337,0.152449223,0.118518519,0.115651135,0.270967742,0.710633214
SBCF,2020-01,ARR,4424,9,5,3,1,5,3,19,51,176,346,560,678,683,549,307,246,165,127,86,68,64,53,26,31,27,136,0.279837251,0.154385172,0.124095841,0.125,0.278481013,0.683318264
SBCF,2021-01,ARR,3033,2,0,1,0,0,2,10,71,212,454,582,524,424,276,138,88,65,45,21,20,20,5,4,7,11,51,0.364655457,0.139795582,0.090999011,0.074513683,0.230794593,0.669963732
SBCF,2022-01,ARR,3390,1,0,0,2,1,4,8,22,77,260,490,566,530,455,240,179,129,99,56,57,38,35,21,16,16,88,0.311504425,0.156342183,0.134218289,0.12359882,0.290560472,0.725663717
SBCF,2019-02,ARR,3774,0,0,0,1,3,1,10,33,106,285,540,605,574,455,286,220,144,110,74,64,48,33,33,37,14,98,0.303391627,0.15209327,0.120561738,0.134075252,0.272655008,0.710121887
SBCF,2020-02,ARR,3810,1,0,2,2,1,7,16,54,201,489,645,615,502,386,218,162,94,90,60,53,28,28,30,26,18,82,0.330708661,0.13175853,0.101312336,0.099737533,0.233070866,0.66351706
SBCF,2021-02,ARR,2129,1,0,0,0,1,1,7,46,160,364,459,380,276,182,80,57,24,15,16,11,10,6,3,8,4,18,0.394081729,0.129638328,0.085486144,0.06434946,0.215124472,0.67355566
SBCF,2022-02,ARR,2699,0,0,0,0,0,1,5,32,150,425,594,521,399,226,113,61,44,35,22,12,11,8,5,5,3,27,0.413115969,0.147832531,0.083734717,0.064468322,0.231567247,0.709151538
SBCF,2019-03,ARR,3982,0,0,0,1,2,4,16,57,199,478,698,711,526,420,218,147,105,69,49,41,36,24,17,17,20,127,0.35384229,0.132094425,0.105474636,0.091662481,0.237569061,0.683073832
